,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,nation_drop,pos_drop,age_drop,born_drop,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected_drop,Expected_drop,Expected_drop,Expected_drop,Expected_drop,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Nathan Patterson,SCO,DF,22,2001,10,3,347,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,6,13,18,0.0,0.26,0.26,0.0,0.26,0.02,0.11,0.13,0.02,0.13,SCO,DF,22,2001,3.9,0,1,0,0.0,0.26,0.0,0.0,,16.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,SCO,DF,22,2001,3.9,130,176,73.9,2272,806,65,72,90.3,52,75,69.3,12,24,50.0,1,0.4,0.4,0.6,4,9,5,3,13,SCO,DF,22,2001,3.9,11,6,7,4,0,7,14,50.0,7,2,0,2,2,13,7,0,SCO,DF,22,2001,3.9,215,11,52,90,75,5,215,12,9,75.0,2,16.7,95,420,216,6,5,2,4,2,117,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Orel Mangala,BEL,MF,26,1998,19,14,1261,14.0,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.8,6,34,19,0.07,0.0,0.07,0.07,0.07,0.08,0.05,0.13,0.08,0.13,BEL,MF,26,1998,14.0,1,16,6,37.5,1.14,0.43,0.06,0.17,22.1,0,0,0,1.1,1.1,0.07,-0.1,-0.1,BEL,MF,26,1998,14.0,437,490,89.2,6998,1567,219,242,90.5,187,197,94.9,23,30,76.7,0,0.6,0.6,-0.6,8,50,8,1,34,BEL,MF,26,1998,14.0,16,8,3,11,2,5,8,62.5,3,8,3,5,21,37,24,1,BEL,MF,26,1998,14.0,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Roman Dixon,ENG,DF,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG,DF,19,2004,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG,DF,19,2004,1.0,11,19,57.9,205,111,6,8,75.0,4,8,50.0,1,3,33.3,0,0.0,0.0,0.0,0,3,0,0,0,ENG,DF,19,2004,1.0,5,5,3,2,0,4,4,100.0,0,1,0,1,1,6,3,0,ENG,DF,19,2004,1.0,36,8,19,14,4,0,36,3,0,0.0,3,100.0,16,107,48,0,0,0,2,0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Séamus Coleman,IRL,DF,35,1988,5,3,215,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,11,7,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.24,0.24,0.24,IRL,DF,35,1988,2.4,0,1,1,100.0,0.42,0.42,0.0,0.0,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,IRL,DF,35,1988,2.4,74,98,75.5,1299,642,36,38,94.7,27,34,79.4,8,19,42.1,0,0.0,0.0,0.0,0,8,2,0,11,IRL,DF,35,1988,2.4,3,2,2,1,0,3,4,75.0,1,5,3,2,1,4,8,0,IRL,DF,35,1988,2.4,121,12,42,54,26,3,121,5,4,80.0,1,20.0,54,310,177,1,2,0,1,1,68,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Tim Iroegbunam,ENG,MF,21,2003,18,5,574,6.4,0,1,1,0,0,0,4,0,0.2,0.2,0.2,0.4,8,15,9,0.0,0.16,0.16,0.0,0.16,0.04,0.03,0.07,0.04,0.07,ENG,MF,21,2003,6.4,0,5,0,0.0,0.78,0.0,0.0,,22.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ENG,MF,21,2003,6.4,115,158,72.8,1921,621,54,73,74.0,42,50,84.0,14,20,70.0,1,0.2,0.1,0.8,3,10,1,0,15,ENG,MF,21,2003,6.4,29,14,14,10,5,14,23,60.9,9,18,4,14,16,45,12,1,ENG,MF,21,2003,6.4,269,24,89,127,60,12,269,20,8,40.0,8,40.0,127,744,379,8,10,2,11,18,113,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Vitaliy Mykolenko,UKR,DF,25,1999,35,35,3082,34.2,1,2,3,1,0,0,4,0,0.5,0.5,2.6,3.1,33,110,99,0.03,0.06,0.09,0.03,0.09,0.01,0.08,0.09,0.01,0.09,UKR,DF,25,1999,34.2,1,14,1,7.1,0.41,0.03,0.07,1.0,20.6,0,0,0,0.5,0.5,0.04,0.5,0.5,UKR,DF,25,1999,34.2,986,1322,74.6,16470,6579,510,571,89.3,369,500,73.8,87,193,45.1,2,2.6,2.2,-0.6,24,102,40,24,110,UKR,DF,25,1999,34.2,63,38,39,14,10,29,56,51.8,27,25,10,15,44,107,145,2,UKR,DF,25,1999,34.2,1678,125,525,713,452,32,1678,20,8,40.0,9,45.0,697,2825,1506,33,28,1,23,11,860,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Everton,Youssef Chermiti,POR,"FW,MF",20,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,POR,"FW,MF",20,2004,0.5,0,3,1,33.3,6.0,2.0,0.0,0.0,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,POR,"FW,MF",20,2004,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,POR,"FW,MF",20,2004,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,POR,"FW,MF",20,2004,0.5,15,0,0,6,9,3,15,1,1,100.0,0,0.0,7,21,2,0,0,0,0,1,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Adama Traoré,ESP,"FW,MF",28,1996,36,18,1772,19.7,2,7,9,2,0,0,3,0,4.0,4.0,4.9,8.9,100,68,161,0.1,0.36,0.46,0.1,0.46,0.2,0.25,0.45,0.2,0.45,ESP,"FW,MF",28,1996,19.7,2,39,12,30.8,1.98,0.61,0.05,0.17,14.2,0,0,0,4.0,4.0,0.1,-2.0,-2.0,ESP,"FW,MF",28,1996,19.7,424,587,72.2,6645,1683,236,286,82.5,143,194,73.7,30,54,55.6,7,4.9,4.5,2.1,42,36,38,22,68,ESP,"FW,MF",28,1996,19.7,20,13,9,6,5,5,13,38.5,8,7,0,7,1,21,6,4,ESP,"FW,MF",28,1996,19.7,801,4,83,285,455,91,801,97,48,49.5,36,37.1,538,4631,2486,100,45,33,37,25,607,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Alex Iwobi,NGA,"FW,MF",28,1996,38,35,2981,33.1,9,6,15,9,0,0,1,0,4.7,4.7,7.0,11.8,144,213,246,0.27,0.18,0.45,0.27,0.45,0.14,0.21,0.36,0.14,0.36,NGA,"FW,MF",28,1996,33.1,9,68,29,42.6,2.05,0.88,0.13,0.31,18.3,0,0,0,4.7,4.7,0.07,4.3,4.3,NGA,"FW,MF",28,1996,33.1,1150,1532,75.1,19530,5723,582,671,86.7,448,574,78.0,98,184,53.3,6,7.0,7.0,-1.0,59,115,86,19,213,NGA,"FW,MF",28,1996,33.1,44,25,14,21,9,22,34,64.7,12,26,1,25,14,58,29,1,NGA,"FW,MF",28,1996,33.1,1861,33,244,748,895,116,1861,97,48,49.5,42,43.3,1312,8012,4367,144,105,37,62,40,1447,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Andreas Pereira,BRA,MF,28,1996,33,25,2013,22.4,2,4,6,2,0,1,7,0,3.8,3.0,4.6,7.6,29,104,81,0.09,0.18,0.27,0.09,0.27,0.17,0.21,0.38,0.14,0.34,BRA,MF,28,1996,22.4,2,38,8,21.1,1.7,0.36,0.05,0.25,21.8,6,0,1,3.8,3.0,0.08,-1.8,-1.0,BRA,MF,28,1996,22.4,670,970,69.1,12139,3902,310,371,83.6,258,326,79.1,89,218,40.8,4,4.6,4.6,-0.6,57,67,19,4,104,BRA,MF,28,1996,22.4,24,13,8,11,5,10,42,23.8,32,17,2,15,8,32,17,3,BRA,MF,28,1996,22.4,1148,22,169,466,531,46,1147,30,14,46.7,8,26.7,578,2764,1341,29,38,9,29,22,676,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Antonee Robinson,USA,DF,26,1997,36,35,3167,35.2,0,10,10,0,0,0,8,0,0.7,0.7,4.2,4.9,118,131,274,0.0,0.28,0.28,0.0,0.28,0.02,0.12,0.14,0.02,0.14,USA,DF,26,1997,35.2,0,16,2,12.5,0.45,0.06,0.0,0.0,22.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,USA,DF,26,1997,35.2,1595,2076,76.8,27385,10017,763,881,86.6,678,853,79.5,134,239,56.1,10,4.2,4.1,5.8,43,115,56,29,131,USA,DF,26,1997,35.2,95,61,57,31,7,45,95,47.4,50,43,9,34,62,157,133,2,USA,DF,26,1997,35.2,2523,139,828,942,788,70,2523,83,38,45.8,34,41.0,1343,7361,4230,118,61,30,44,20,1509,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38,38,3420,38.0,0,1,1,0,0,0,5,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,GER,GK,32,1992,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER,GK,32,1992,38.0,1149,1404,81.8,28206,16978,227,228,99.6,683,691,98.8,227,471,48.2,1,0.1,0.1,0.9,2,16,2,0,0,GER,GK,32,1992,38.0,2,2,2,0,0,2,2,100.0,0,1,0,1,0,2,11,5,GER,GK,32,1992,38.0,1479,1190,1466,13,0,0,1479,0,0,,0,,955,3956,2233,0,0,0,0,0,862,0,GER,GK,32,1992,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3
ENG-Premier League,2425,Fulham,Calvin Bassey,NGA,DF,24,1999,35,34,3074,34.2,1,0,1,1,0,0,7,0,1.0,1.0,0.1,1.2,39,116,15,0.03,0.0,0.03,0.03,0.03,0.03,0.0,0.03,0.03,0.03,NGA,DF,24,1999,34.2,1,14,4,28.6,0.41,0.12,0.07,0.25,15.3,0,0,0,1.0,1.0,0.07,0.0,0.0,NGA,DF,24,1999,34.2,1934,2155,89.7,34171,11961,821,862,95.2,941,1003,93.8,140,228,61.4,0,0.1,0.4,-0.1,3,152,3,0,116,NGA,DF,24,1999,34.2,54,34,35,19,0,22,31,71.0,9,40,17,23,20,74,118,8,NGA,DF,24,1999,34.2,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Carlos Vinícius,BRA,"MF,FW",29,1995,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.21,0.21,0.21,BRA,"MF,FW",29,1995,0.2,0,1,1,100.0,5.63,5.63,0.0,0.0,17.4,0,0,0,0.0,0.0,0.04,0.0,0.0,BRA,"MF,FW",29,1995,0.2,1,3,33.3,14,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,BRA,"MF,FW",29,1995,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,BRA,"MF,FW",29,1995,0.2,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Emile Smith Rowe,ENG,MF,24,2000,34,25,2043,22.7,6,3,9,6,0,0,3,0,4.5,4.5,1.4,6.0,53,126,127,0.26,0.13,0.4,0.26,0.4,0.2,0.06,0.26,0.2,0.26,ENG,MF,24,2000,22.7,6,37,11,29.7,1.63,0.48,0.16,0.55,16.0,0,0,0,4.5,4.5,0.12,1.5,1.5,ENG,MF,24,2000,22.7,922,1023,90.1,13141,2429,548,592,92.6,330,348,94.8,21,29,72.4,3,1.4,2.0,1.6,24,80,15,1,126,ENG,MF,24,2000,22.7,31,18,7,14,10,8,24,33.3,16,22,2,20,11,42,16,0,ENG,MF,24,2000,22.7,1223,20,166,591,476,60,1223,35,16,45.7,16,45.7,779,3728,1932,53,40,12,36,18,940,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Harrison Reed,ENG,MF,29,1995,12,0,108,1.2,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,1,4,7,0.0,0.0,0.0,0.0,0.0,0.21,0.07,0.27,0.21,0.27,ENG,MF,29,1995,1.2,0,3,2,66.7,2.5,1.67,0.0,0.0,21.7,0,0,0,0.2,0.2,0.08,-0.2,-0.2,ENG,MF,29,1995,1.2,39,55,70.9,550,138,21,24,87.5,13,17,76.5,2,5,40.0,0,0.1,0.1,-0.1,1,1,1,0,4,ENG,MF,29,1995,1.2,6,3,3,2,1,1,3,33.3,2,1,0,1,1,7,3,0,ENG,MF,29,1995,1.2,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Harry Wilson,WAL,"FW,MF",27,1997,25,12,1162,12.9,6,1,7,6,0,0,2,0,4.2,4.2,1.1,5.3,22,51,96,0.46,0.08,0.54,0.46,0.54,0.33,0.09,0.41,0.33,0.41,WAL,"FW,MF",27,1997,12.9,6,43,17,39.5,3.33,1.32,0.14,0.35,18.0,1,0,0,4.2,4.2,0.1,1.8,1.8,WAL,"FW,MF",27,1997,12.9,326,445,73.3,5413,1378,171,200,85.5,121,156,77.6,29,71,40.8,1,1.1,1.2,-0.1,20,26,15,1,51,WAL,"FW,MF",27,1997,12.9,20,14,13,3,4,12,18,66.7,6,15,1,14,7,27,10,1,WAL,"FW,MF",27,1997,12.9,598,11,81,203,324,63,598,24,9,37.5,10,41.7,342,1879,864,22,18,11,19,6,390,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Issa Diop,FRA,DF,27,1997,21,15,1339,14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,6,25,3,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.04,0.04,FRA,DF,27,1997,14.9,0,5,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,FRA,DF,27,1997,14.9,663,758,87.5,12350,4179,233,252,92.5,379,408,92.9,46,87,52.9,0,0.1,0.1,-0.1,3,43,1,0,25,FRA,DF,27,1997,14.9,26,12,18,8,0,13,18,72.2,5,10,7,3,9,35,72,2,FRA,DF,27,1997,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Jay Stansfield,ENG,MF,21,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG,MF,21,2002,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG,MF,21,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG,MF,21,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG,MF,21,2002,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Joachim Andersen,DEN,DF,28,1996,29,29,2583,28.7,0,0,0,0,0,0,6,1,1.0,1.0,0.5,1.5,16,112,2,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.05,0.04,0.05,DEN,DF,28,1996,28.7,0,19,4,21.1,0.66,0.14,0.0,0.0,15.1,0,0,0,1.0,1.0,0.05,-1.0,-1.0,DEN,DF,28,1996,28.7,1654,2000,82.7,36471,14436,456,497,91.8,918,985,93.2,269,487,55.2,0,0.5,0.5,-0.5,4,196,6,3,112,DEN,DF,28,1996,28.7,27,18,20,6,1,15,24,62.5,9,37,28,9,34,61,188,1,DEN,DF,28,1996,28.7,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0.0,1350,6505,3435,16,14,1,6,3,1621,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Jorge Cuenca,ESP,DF,24,1999,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,ESP,DF,24,1999,3.9,0,1,0,0.0,0.26,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,ESP,DF,24,1999,3.9,145,173,83.8,2483,858,51,56,91.1,83,93,89.2,7,20,35.0,0,0.0,0.0,0.0,0,7,0,0,10,ESP,DF,24,1999,3.9,6,2,5,1,0,3,8,37.5,5,4,4,0,2,8,26,0,ESP,DF,24,1999,3.9,214,38,134,74,7,1,214,2,2,100.0,0,0.0,89,302,140,0,1,0,2,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Joshua King,ENG,MF,17,2007,8,1,130,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,9,16,0.0,0.0,0.0,0.0,0.0,0.22,0.3,0.51,0.22,0.51,ENG,MF,17,2007,1.4,0,3,0,0.0,2.08,0.0,0.0,,9.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,ENG,MF,17,2007,1.4,54,64,84.4,928,172,29,32,90.6,21,24,87.5,3,4,75.0,0,0.4,0.7,-0.4,3,5,2,0,9,ENG,MF,17,2007,1.4,7,5,3,4,0,0,3,0.0,3,3,0,3,1,8,1,0,ENG,MF,17,2007,1.4,87,2,12,31,46,10,87,8,4,50.0,4,50.0,44,335,138,3,4,0,1,6,60,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Kenny Tete,NED,DF,28,1995,22,21,1774,19.7,0,2,2,0,0,0,5,0,1.4,1.4,0.9,2.3,34,63,54,0.0,0.1,0.1,0.0,0.1,0.07,0.05,0.12,0.07,0.12,NED,DF,28,1995,19.7,0,24,2,8.3,1.22,0.1,0.0,0.0,15.5,0,0,0,1.4,1.4,0.06,-1.4,-1.4,NED,DF,28,1995,19.7,772,956,80.8,12358,4026,405,443,91.4,285,353,80.7,61,108,56.5,2,0.9,0.7,1.1,9,65,13,6,63,NED,DF,28,1995,19.7,56,38,29,14,13,23,38,60.5,15,31,12,19,32,88,67,0,NED,DF,28,1995,19.7,1205,79,402,484,329,37,1205,20,9,45.0,6,30.0,611,2851,1336,34,21,7,17,10,695,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Martial Godo,ENG,"FW,DF",21,2003,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.0,0.21,ENG,"FW,DF",21,2003,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG,"FW,DF",21,2003,0.3,12,17,70.6,214,53,6,8,75.0,5,5,100.0,1,2,50.0,0,0.1,0.1,-0.1,1,0,3,0,3,ENG,"FW,DF",21,2003,0.3,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,ENG,"FW,DF",21,2003,0.3,25,0,1,7,17,7,25,4,1,25.0,3,75.0,18,155,87,2,0,2,0,0,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Raúl Jiménez,MEX,FW,33,1991,38,30,2494,27.7,12,3,15,9,3,3,4,0,12.0,9.6,3.3,12.9,35,62,125,0.43,0.11,0.54,0.32,0.43,0.43,0.12,0.55,0.35,0.47,MEX,FW,33,1991,27.7,12,93,30,32.3,3.36,1.08,0.1,0.3,14.5,1,3,3,12.0,9.6,0.1,0.0,-0.6,MEX,FW,33,1991,27.7,458,643,71.2,6916,1618,265,326,81.3,138,188,73.4,33,55,60.0,3,3.3,2.1,-0.3,24,41,14,3,62,MEX,FW,33,1991,27.7,35,24,9,17,9,8,22,36.4,14,21,5,16,10,45,23,3,MEX,FW,33,1991,27.7,999,35,120,431,464,165,996,50,21,42.0,26,52.0,549,2557,1112,35,24,17,74,45,734,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Reiss Nelson,ENG,FW,24,1999,11,5,487,5.4,1,1,2,1,0,0,1,0,1.1,1.1,1.0,2.1,45,35,63,0.18,0.18,0.37,0.18,0.37,0.2,0.18,0.39,0.2,0.39,ENG,FW,24,1999,5.4,1,12,6,50.0,2.22,1.11,0.08,0.17,15.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1,ENG,FW,24,1999,5.4,232,268,86.6,3429,761,136,147,92.5,77,91,84.6,12,19,63.2,1,1.0,1.0,0.0,13,7,15,3,35,ENG,FW,24,1999,5.4,8,6,3,3,2,5,13,38.5,8,11,0,11,5,13,2,0,ENG,FW,24,1999,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Rodrigo Muniz,BRA,FW,23,2001,31,8,964,10.7,8,1,9,8,0,0,1,0,5.8,5.8,0.7,6.5,6,27,31,0.75,0.09,0.84,0.75,0.84,0.54,0.07,0.61,0.54,0.61,BRA,FW,23,2001,10.7,8,39,19,48.7,3.64,1.77,0.21,0.42,12.0,0,0,0,5.8,5.8,0.15,2.2,2.2,BRA,FW,23,2001,10.7,92,142,64.8,1540,528,46,68,67.6,31,45,68.9,11,13,84.6,1,0.7,0.2,0.3,7,13,3,0,27,BRA,FW,23,2001,10.7,10,5,3,5,2,4,4,100.0,0,9,2,7,5,15,14,0,BRA,FW,23,2001,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Ryan Sessegnon,ENG,"FW,DF",24,2000,16,7,580,6.4,4,2,6,4,0,0,1,0,1.6,1.6,1.1,2.7,18,22,59,0.62,0.31,0.93,0.62,0.93,0.25,0.17,0.42,0.25,0.42,ENG,"FW,DF",24,2000,6.4,4,14,8,57.1,2.17,1.24,0.29,0.5,12.8,0,0,0,1.6,1.6,0.12,2.4,2.4,ENG,"FW,DF",24,2000,6.4,189,241,78.4,2728,859,118,136,86.8,58,73,79.5,8,13,61.5,2,1.1,1.1,0.9,12,18,7,2,22,ENG,"FW,DF",24,2000,6.4,27,13,11,11,5,9,20,45.0,11,13,1,12,3,30,18,0,ENG,"FW,DF",24,2000,6.4,363,15,88,131,149,45,363,21,8,38.1,10,47.6,180,1054,549,18,14,10,19,8,210,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Fulham,Sander Berge,NOR,MF,26,1998,31,26,2224,24.7,0,0,0,0,0,0,6,0,0.4,0.4,0.6,1.0,29,124,9,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,NOR,MF,26,1998,24.7,0,3,1,33.3,0.12,0.04,0.0,0.0,8.7,0,0,0,0.4,0.4,0.12,-0.4,-0.4,NOR,MF,26,1998,24.7,1091,1193,91.5,19377,4626,452,491,92.1,526,557,94.4,96,115,83.5,0,0.6,0.6,-0.6,18,116,5,0,124,NOR,MF,26,1998,24.7,50,30,23,23,4,27,39,69.2,12,27,8,19,21,71,38,1,NOR,MF,26,1998,24.7,1384,81,374,799,217,14,1384,20,11,55.0,6,30.0,804,4467,2065,29,25,2,15,16,892,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
