,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,nation_drop,pos_drop,age_drop,born_drop,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected_drop,Expected_drop,Expected_drop,Expected_drop,Expected_drop,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,nation_drop,pos_drop,age_drop,born_drop,90s_drop,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,POL,DF,24,2000,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8,POL,DF,24,2000,12.5,673,736,91.4,11598,3392,278,294,94.6,358,376,95.2,30,53,56.6,0,0.3,0.3,-0.3,5,65,3,0,48,POL,DF,24,2000,12.5,22,8,13,7,2,11,15,73.3,4,13,8,5,6,28,58,3,POL,DF,24,2000,12.5,846,100,281,494,72,5,846,5,3,60.0,2,40.0,492,1988,1037,5,7,1,3,2,615,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,ITA,MF,32,1991,7.8,0,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ITA,MF,32,1991,7.8,411,474,86.7,6468,1609,215,235,91.5,168,190,88.4,21,36,58.3,0,0.4,0.6,-0.4,3,44,10,0,48,ITA,MF,32,1991,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2,ITA,MF,32,1991,7.8,522,9,93,304,131,3,522,4,1,25.0,2,50.0,302,1498,874,12,13,0,12,9,389,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08,NED,DF,23,2001,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2,NED,DF,23,2001,26.9,1194,1395,85.6,17327,4642,674,741,91.0,472,549,86.0,27,51,52.9,3,0.8,1.3,2.2,17,107,17,2,146,NED,DF,23,2001,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1,NED,DF,23,2001,26.9,1661,51,304,859,505,66,1661,53,24,45.3,24,45.3,890,3916,2076,57,27,11,33,24,1052,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57,GER,"FW,MF",25,1999,20.8,9,53,21,39.6,2.54,1.01,0.17,0.43,11.6,0,0,0,9.5,9.5,0.18,-0.5,-0.5,GER,"FW,MF",25,1999,20.8,407,519,78.4,4905,1033,286,340,84.1,95,115,82.6,5,11,45.5,3,2.4,1.7,0.6,17,27,9,1,61,GER,"FW,MF",25,1999,20.8,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1,GER,"FW,MF",25,1999,20.8,785,31,92,287,411,107,785,38,9,23.7,24,63.2,418,2012,954,35,23,18,44,23,584,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6,SCO,"DF,FW",27,1997,2.9,1,2,1,50.0,0.69,0.35,0.5,1.0,4.1,0,0,0,0.4,0.4,0.18,0.6,0.6,SCO,"DF,FW",27,1997,2.9,145,173,83.8,2325,699,69,73,94.5,65,78,83.3,8,15,53.3,0,1.4,0.7,-1.4,8,13,5,2,15,SCO,"DF,FW",27,1997,2.9,7,5,4,1,2,4,6,66.7,2,0,0,0,3,10,9,0,SCO,"DF,FW",27,1997,2.9,199,8,36,72,91,6,199,4,2,50.0,1,25.0,108,447,253,8,6,1,3,0,143,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47,BEL,FW,29,1994,28.3,8,72,21,29.2,2.55,0.74,0.11,0.38,15.9,0,0,0,7.2,7.2,0.1,0.8,0.8,BEL,FW,29,1994,28.3,711,954,74.5,11435,2972,377,439,85.9,275,357,77.0,43,87,49.4,7,6.1,4.1,0.9,41,45,48,10,101,BEL,FW,29,1994,28.3,31,20,6,16,9,12,34,35.3,22,32,0,32,9,40,18,0,BEL,FW,29,1994,28.3,1278,17,135,399,762,158,1278,86,38,44.2,37,43.0,828,5024,2218,80,55,30,66,52,956,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37,NOR,MF,25,1998,25.8,3,48,15,31.3,1.86,0.58,0.04,0.13,19.2,3,1,1,4.8,4.0,0.08,-1.8,-2.0,NOR,MF,25,1998,25.8,1237,1499,82.5,19237,5460,678,749,90.5,449,517,86.8,80,146,54.8,8,5.4,6.7,2.6,63,132,86,5,258,NOR,MF,25,1998,25.8,19,11,9,7,3,4,25,16.0,21,5,0,5,6,25,6,1,NOR,MF,25,1998,25.8,1694,9,126,708,875,115,1693,59,25,42.4,32,54.2,1174,7444,3772,92,85,26,38,40,1336,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,"MF,FW",28,1996,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45,ESP,"MF,FW",28,1996,17.6,7,38,13,34.2,2.16,0.74,0.18,0.54,10.7,0,0,0,5.9,5.9,0.16,1.1,1.1,ESP,"MF,FW",28,1996,17.6,451,577,78.2,6182,1776,285,328,86.9,128,165,77.6,17,31,54.8,2,2.0,1.2,0.0,17,40,24,4,69,ESP,"MF,FW",28,1996,17.6,46,28,7,26,13,20,36,55.6,16,18,5,13,15,61,26,2,ESP,"MF,FW",28,1996,17.6,783,37,140,330,323,79,783,23,9,39.1,10,43.5,388,1518,747,11,13,4,24,27,504,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,DF,17,2006,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04,ENG,DF,17,2006,15.2,1,3,1,33.3,0.2,0.07,0.33,1.0,14.7,0,0,0,0.2,0.2,0.05,0.8,0.8,ENG,DF,17,2006,15.2,708,776,91.2,10525,2307,394,410,96.1,291,317,91.8,14,24,58.3,0,0.4,0.5,-0.4,8,66,10,2,71,ENG,DF,17,2006,15.2,22,14,10,9,3,10,11,90.9,1,4,1,3,7,29,27,0,ENG,DF,17,2006,15.2,905,28,178,476,265,17,905,28,12,42.9,9,32.1,526,2692,1663,37,26,7,13,9,616,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,FW,21,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,ENG,FW,21,2003,0.1,0,1,1,100.0,12.86,12.86,0.0,0.0,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ENG,FW,21,2003,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG,FW,21,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG,FW,21,2003,0.1,1,0,0,0,1,1,1,0,0,,0,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
